Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
HO00037,0001,,FREEHOLD OF 39 & LEASEHOLD OF 41 FRONT STREET GRANGE VILLA CHESTER-LE-STREET COUNTY DURHAM,Freehold Acquisition and Leasehold Assmt,,01-Dec-21,40000
PL00517,0016,,"10-11 ARMSTRONG ROAD, NORTH EAST INDUSTRIAL ESTATE, PETERLEE",Freehold Acquisition,,17-Dec-21,110000
HO00052,0001,,6 ST MARKS COURT COUNDON GRANGE BISHOP AUCKLAND,Freehold Acquisition,,01-Feb-22,17500
HO00053,0001,,5 ST MARKS COURT COUNDON GRANGE BISHOP AUCKLAND,Freehold Acquisition,,01-Feb-22,17500
HO00054,0001,,4 ST MARKS COURT COUNDON GRANGE BISHOP AUCKLAND,Freehold Acquisition,,01-Feb-22,17500
HO00051,0001,,92 JACKSON STREET SPENNYMOOR,Freehold Acquisition,,02-Feb-22,60000
HO00042,0002,,"7 DOUGLAS TERRACE, CROOK",Freehold Acquisition,,11-Feb-22,59000
HO00064,0002,,"3 RITSONS COURT, BLACKHILL, CONSETT",Leasehold Acquisition,,16-Feb-22,47000
HO00049,0001,,"GARAGE 2 & 46 ASHDOWN AVENUE, GILESGATE MOOR DURHAM COUNTY DURHAM",Leasehold Acquisition,,18-Feb-22,63000
HO00063,0001,,5 HOWE TERRACE CROOK,Freehold Acquisition,,25-Feb-22,50000
PL00513,0001,,"NEWGATE SHOPPING CENTRE, GEORGE STREET, BISHOP AUCKLAND",Freehold Acquisition,,02-Mar-22,3310000
HO00039,0001,,LAND AT 1-6 KEATS CLOSE STANLEY CO DURHAM DH9 6QS,Freehold Acquisition,,07-Mar-22,135000
HB12917,0001,,"FORMER GARAGE SITE, SOUTH MAGDALENE, CONSETT CO DURHAM DH8 6RH",Freehold Acquisition,,08-Mar-22,0
HO00067,0001,,"2 GIBBON STREET, MIDDLESTONE MOOR, SPENNYMOOR DL16 7AX",Freehold Acquisition,,11-Mar-22,65000
HO00074,0001,,"43 GREENWAYS, DELVES LANE, CONSETT, DH8 7DG",Leasehold Acquisition,,11-Mar-22,42000
HO00069,0001,,"45 WILSON STREET, CROOK FOR LOCAL LETTINGS AGENCY",Freehold Acquisition,,16-Mar-22,65000
HO00070,0001,,"45 TEMPERANCE TERRACE, USHAW MOOR",Freehold Acquisition,,16-Mar-22,55000
HO00072,0001,,"63 SOUTH STREET, SPENNYMOOR FOR LOCAL LETTINGS AGENCY",Freehold Acquisition,,16-Mar-22,50000
HO00068,0001,,"2 GROSVENOR HOUSE, 44-45 WOODS TERRACE, MURTON ",Freehold Acquisition,,18-Mar-22,65500
HO00071,0001,,"22 CUMBRIAN WAY, PETERLEE FOR LOCAL LETTINGS AGENCY",Freehold Acquisition,,18-Mar-22,65000
HO00073,0001,,"35 BAFF STREET, SPENNYMOOR",Freehold Acquisition,,18-Mar-22,57500
HO00076,0001,,"58 HEATHERBURN COURT, NEWTON AYCLIFFE",Freehold Acquisition,,23-Mar-22,68000
HO00048,0001,,"10 THE OLD CHAPEL, STATION ROAD WEST AUCKLAND BISHOP AUCKLAND COUNTY DURHAM",Leasehold Acquisition,,23-Mar-22,43000
ED00567,0013,,SUBSOIL AT FORMER HARELAW SCHOOL SITE,Freehold Acquisition,,01-Apr-22,10000
HO00075,0001,,"14 CAVENDISH COURT, BRANDON",Freehold Acquisition,,01-Apr-22,112000
CA00006,0001,,"ELDERHURST, LOBLEY HILL MEADOWFIELD",Freehold Acquisition,,08-Jun-22,250000
D001902,0001,,"58 - 59 FORE BONDGATE, BISHOP AUCKLAND",Freehold Acquisition,,24-Jun-22,130000
HO00077,0001,,42 EAST CLERE LANGLEY PARK DH7 9XZ,Freehold Acquisition,,24-Jun-22,55000
HO00057,0001,,"22 HARTLEY GARDENS, GILESGATE",Freehold Acquisition,,05-Jul-22,92500
HO00058,0001,,"21 HARTLEY GARDENS, GILESGATE",Freehold Acquisition,,05-Jul-22,92500
HO00059,0001,,"20 HARTLEY GARDENS, GILESGATE",Freehold Acquisition,,05-Jul-22,92500
